,p,x,y,Pd,Pt,Ru
142,143,-18.0,-4.5,0.1796310619354108,0.49087332136163814,0.329495616702951
143,144,-13.5,-4.5,0.17948790524514752,0.45675567449234666,0.3637564202625057
144,145,-9.0,-4.5,0.17934474915167822,0.42263816985326674,0.398017080995055
145,146,-4.5,-4.5,0.1792015936549992,0.38852080744350886,0.432277598901492
146,147,0.0,-4.5,0.17905843875510666,0.3544035872621837,0.46653797398270974
147,148,4.5,-4.5,0.1789152844519969,0.32028650930840175,0.5007982062396014
148,149,9.0,-4.5,0.1787721307456662,0.28616957358127376,0.5350582956730601
149,150,13.5,-4.5,0.17862897763611085,0.25205278007991033,0.5693182422839789
150,151,18.0,-4.5,0.17848582512332706,0.21793612880342217,0.6035780460732507
151,152,22.5,-4.5,0.17834267320731112,0.18381961975091982,0.637837707041769
152,153,27.0,-4.5,0.17819952188805935,0.14970325292151399,0.6720972251904267
153,154,31.5,-4.5,0.17805637116556797,0.11558702831431533,0.7063566005201167
154,155,36.0,-4.5,0.17791322103983323,0.08147094592843453,0.7406158330317323
155,156,40.5,-4.5,0.17777007151085142,0.047355005762982245,0.7748749227261663
156,157,45.0,-4.5,0.1776269225786188,0.013239207817069179,0.809133869604312
157,158,-45.0,0.0,0.1659809674919069,0.6979550566868391,0.13606397582125399
158,159,-40.5,0.0,0.16583783710467642,0.6638364658131231,0.17032569708220052
159,160,-36.0,0.0,0.16569470731413924,0.6297180171756899,0.20458727551017092
160,161,-31.5,0.0,0.16555157812029164,0.59559971077365,0.2388487111060584
161,162,-27.0,0.0,0.16540844952312983,0.561481546606114,0.2731100038707561
162,163,-22.5,0.0,0.16526532152265014,0.5273635246721926,0.3073711538051572
163,164,-18.0,0.0,0.16512219411884882,0.4932456449709963,0.3416321609101549
164,165,-13.5,0.0,0.1649790673117221,0.4591279075016356,0.3758930251866423
165,166,-9.0,0.0,0.1648359411012663,0.42501031226322117,0.4101537466355125
166,167,-4.5,0.0,0.1646928154874777,0.39089285925486356,0.44441432525765884
167,168,0.0,0.0,0.16454969047035248,0.3567755484756734,0.47867476105397416
168,169,4.5,0.0,0.16440656604988702,0.32265837992476126,0.5129350540253518
169,170,9.0,0.0,0.16426344222607753,0.2885413536012379,0.5471952041726846
170,171,13.5,0.0,0.16412031899892024,0.25442446950421377,0.581455211496866
171,172,18.0,0.0,0.16397719636841152,0.22030772763279957,0.6157150759987889
172,173,22.5,0.0,0.16383407433454758,0.18619112798610601,0.6499747976793464
173,174,27.0,0.0,0.16369095289732472,0.15207467056324364,0.6842343765394318
174,175,31.5,0.0,0.16354783205673912,0.11795835536332316,0.7184938125799377
175,176,36.0,0.0,0.16340471181278715,0.08384218238545527,0.7527531058017576
176,177,40.5,0.0,0.163261592165465,0.04972615162875059,0.7870122562057844
177,178,45.0,0.0,0.16311847311476904,0.015610263092319818,0.8212712637929112
178,179,-45.0,4.5,0.15147184752038503,0.7003279358268035,0.14820021665281144
179,180,-40.5,4.5,0.15132874701733154,0.6662092543481297,0.18246199863453885
