,p,x,y,Ag,Pd,Pt
260,261,-40.5,22.5,0.3316920594578101,0.03605147132664622,0.6322564692155436
261,262,-36.0,22.5,0.3498220193380754,0.04246177919817794,0.6077162014637467
262,263,-31.5,22.5,0.3679522437272633,0.04887218059355858,0.5831755756791781
263,264,-27.0,22.5,0.38608273263116255,0.05528267551483486,0.5586345918540028
264,265,-22.5,22.5,0.40421348605556184,0.06169326396405359,0.5340932499803845
265,266,-18.0,22.5,0.42234450400625023,0.06810394594326162,0.509551550050488
266,267,-13.5,22.5,0.4404757864890171,0.07451472145450583,0.4850094920564771
267,268,-9.0,22.5,0.4586073335096515,0.08092559049983324,0.4604670759905153
268,269,-4.5,22.5,0.476739145073943,0.08733655308129083,0.4359243018447661
269,270,0.0,22.5,0.49487122118768145,0.0937476092009257,0.41138116961139287
270,271,4.5,22.5,0.5130035618566565,0.100158758860785,0.38683767928255847
271,272,9.0,22.5,0.5311361670866582,0.10657000206291595,0.36229383085042577
272,273,13.5,22.5,0.5492690368834768,0.11298133880936578,0.3377496243071574
273,274,18.0,22.5,0.5674021712529028,0.11939276910218186,0.31320505964491546
274,275,22.5,22.5,0.5855355702007263,0.12580429294341153,0.28866013685586217
275,276,27.0,22.5,0.6036692337327384,0.1322159103351023,0.2641148559321594
276,277,31.5,22.5,0.6218031618547296,0.1386276212793016,0.23956921686596877
277,278,36.0,22.5,0.6399373545724912,0.14503942577805698,0.2150232196494517
278,279,40.5,22.5,0.6580718118918144,0.15145132383341617,0.19047686427476934
279,280,-36.0,27.0,0.37763943232367286,0.018213222878548232,0.6041473447977789
280,281,-31.5,27.0,0.3957702984976391,0.02462360255040496,0.5796060989519559
281,282,-27.0,27.0,0.4139014292020832,0.03103407575010431,0.5550644950478125
282,283,-22.5,27.0,0.4320328244427944,0.03744464247969313,0.5305225330775124
283,284,-18.0,27.0,0.4501644842255623,0.04385530274121835,0.5059802130332193
284,285,-13.5,27.0,0.46829640855617644,0.05026605653672702,0.48143753490709656
285,286,-9.0,27.0,0.48642859744042677,0.05667690386826613,0.4568944986913071
286,287,-4.5,27.0,0.5045610508841032,0.06308784473788288,0.43235110437801405
287,288,0.0,27.0,0.5226937688929958,0.06949887914762438,0.40780735195937984
288,289,4.5,27.0,0.540826751472895,0.07591000709953791,0.38326324142756707
289,290,9.0,27.0,0.5589599986295913,0.08232122859567076,0.3587187727747379
290,291,13.5,27.0,0.5770935103688755,0.08873254363807027,0.3341739459930543
291,292,18.0,27.0,0.5952272866965382,0.09514395222878388,0.30962876107467796
292,293,22.5,27.0,0.6133613276183705,0.10155545436985905,0.28508321801177045
293,294,27.0,27.0,0.6314956331401635,0.10796705006334335,0.26053731679649306
294,295,31.5,27.0,0.6496302032677088,0.11437873931128434,0.23599105742100687
295,296,36.0,27.0,0.6677650380067977,0.12079052211572967,0.2114444398774726
296,297,-31.5,31.5,0.4235897000195195,0.00037385056431279144,0.5760364494161677
297,298,-27.0,31.5,0.44172147256540495,0.006784302032819394,0.5514942254017756
298,299,-22.5,31.5,0.4598535096633259,0.01319484703316249,0.5269516433035116
299,300,-18.0,31.5,0.4779858113190723,0.019605485567389058,0.5024087031135386
300,301,-13.5,31.5,0.4961183775384344,0.026016217637546243,0.47786540482401935
301,302,-9.0,31.5,0.5142512083272025,0.03242704324568118,0.4533217484271164
302,303,-4.5,31.5,0.5323843036911668,0.03883796239384103,0.4287777339149921
303,304,0.0,31.5,0.5505176636361184,0.04524897508407314,0.4042333612798084
304,305,4.5,31.5,0.5686512881678478,0.05166008131842482,0.3796886305137274
305,306,9.0,31.5,0.586785177292146,0.058071281098943404,0.35514354160891054
